hjd,camera,mag,mag_err,flux,flux_err
2457046.00207,ba,14.67,0.03256,5.228,0.157
2457427.70508,be,14.602,0.03142,5.534,0.16
2457645.86511,be,14.665,0.03258,5.223,0.157
2458199.62547,be,14.631,0.03194,5.387,0.158
2457388.0068,ba,14.65,0.03219,5.325,0.158
2458217.57651,be,14.948,0.0389,4.023,0.144
2457702.94454,ba,14.673,0.03262,5.215,0.157
2458365.91143,be,14.68,0.03287,5.15,0.156
2457729.74193,be,14.643,0.03217,5.329,0.158
2458194.63282,be,14.651,0.03232,5.289,0.157
2457486.57181,be,14.601,0.0314,5.542,0.16
2457869.51676,be,14.649,0.03228,5.299,0.157
2458198.62793,be,14.68,0.03287,5.152,0.156
2457782.84993,ba,14.667,0.03251,5.242,0.157
2457440.71092,be,14.686,0.03299,5.121,0.155
2458355.8995,be,14.625,0.03183,5.419,0.159
2457712.04591,ba,14.592,0.03112,5.622,0.161
2457420.76675,be,14.633,0.03198,5.38,0.158
2458187.63186,be,14.696,0.03319,5.074,0.155
2458016.85834,be,14.669,0.03266,5.204,0.156
2457737.03147,ba,14.806,0.03537,4.614,0.15
2457846.51337,be,14.655,0.03239,5.272,0.157
2458174.66189,be,14.625,0.03183,5.421,0.159
2457700.71759,be,14.622,0.03178,5.432,0.159
2457424.7527,be,14.806,0.0355,4.588,0.15
2458358.89688,be,14.692,0.03311,5.093,0.155
2457397.86953,ba,14.66,0.03235,5.279,0.157
2457997.12235,ba,14.716,0.03347,5.01,0.154
2458005.11212,ba,14.631,0.03183,5.418,0.159
2457315.00596,ba,14.662,0.03241,5.266,0.157
2457276.1074,ba,14.666,0.03247,5.25,0.157
2457040.00625,ba,14.625,0.03172,5.451,0.159
2457825.82086,ba,14.632,0.03185,5.415,0.159
2458196.63511,be,14.665,0.03258,5.223,0.157
2457098.7359,ba,14.64,0.032,5.376,0.158
2458371.87783,be,14.651,0.03232,5.293,0.157
2458207.60061,be,14.673,0.03274,5.183,0.156
2458228.54409,be,14.633,0.03198,5.381,0.158
2458215.57878,be,14.676,0.0328,5.17,0.156
2457851.57695,be,14.691,0.03309,5.098,0.155
2457667.80056,be,14.64,0.03211,5.345,0.158
2458232.52926,be,14.608,0.03152,5.506,0.16
2457439.7119,be,14.633,0.03198,5.378,0.158
2458019.83561,be,14.665,0.03258,5.223,0.157
2457712.76334,be,14.687,0.03301,5.119,0.155
2457842.76433,ba,14.918,0.03799,4.161,0.145
2458126.80813,be,14.604,0.03145,5.526,0.16
2457774.9253,ba,14.66,0.03237,5.275,0.157
2457718.76821,be,14.687,0.03301,5.12,0.155
2457122.74523,ba,14.651,0.0322,5.321,0.158
2457801.89275,ba,14.686,0.03287,5.149,0.156
2458091.98555,ba,14.821,0.0357,4.547,0.149
2457422.73565,be,14.607,0.03151,5.507,0.16
2458206.60182,be,14.648,0.03226,5.307,0.158
2457691.82775,be,14.659,0.03247,5.251,0.157
2458170.65785,be,14.671,0.0327,5.195,0.156
2457308.05558,ba,14.666,0.03247,5.253,0.157
2457707.08001,ba,14.57,0.03074,5.736,0.162
2457671.83667,be,14.645,0.0322,5.322,0.158
2458021.83281,be,14.628,0.03189,5.403,0.159
2458070.77244,be,14.644,0.03219,5.326,0.158
2457047.99976,ba,14.628,0.03176,5.436,0.159
2457285.11603,ba,14.671,0.03258,5.222,0.157
2457704.94047,ba,14.592,0.03113,5.615,0.161
2457330.11214,ba,14.622,0.03165,5.47,0.159
2457660.82422,be,14.677,0.03281,5.167,0.156
2457415.90467,ba,14.618,0.03158,5.489,0.159
2458022.87538,be,14.624,0.03182,5.425,0.159
2457699.07758,ba,14.608,0.03142,5.534,0.16
2457041.00016,ba,14.651,0.0322,5.322,0.158
2457408.90206,ba,14.564,0.03063,5.771,0.163
2457413.91939,ba,14.594,0.03117,5.608,0.161
2457321.98583,ba,14.716,0.03347,5.013,0.154
2457304.05739,ba,14.608,0.03142,5.536,0.16
2457457.54661,be,14.608,0.03152,5.506,0.16
2457980.92956,be,14.617,0.03169,5.458,0.159
2457676.01655,ba,14.67,0.03256,5.228,0.157
2457446.76313,ba,14.645,0.03209,5.351,0.158
2458053.75701,be,14.648,0.03226,5.306,0.157
2457763.54042,be,14.582,0.03106,5.636,0.161
2457840.7716,ba,14.631,0.03183,5.418,0.159
2458040.85048,be,14.674,0.03276,5.181,0.156
2457481.57595,be,14.613,0.03161,5.48,0.159
2457401.94844,ba,14.65,0.03217,5.329,0.158
2457318.9982,ba,14.846,0.03627,4.447,0.148
2457387.02168,ba,14.631,0.03183,5.417,0.159
2457649.84879,be,14.554,0.03058,5.788,0.163
2458214.57881,be,14.65,0.0323,5.296,0.157
2458205.61152,be,14.582,0.03106,5.636,0.161
2457866.51855,be,14.625,0.03183,5.421,0.159
2458223.55564,be,14.654,0.03237,5.277,0.157
2458037.85241,be,14.647,0.03224,5.311,0.158
2457411.9186,ba,14.863,0.03667,4.377,0.148
2457858.54037,be,14.63,0.03193,5.396,0.158
2457460.65524,be,14.611,0.03158,5.488,0.159
2458069.79828,be,14.701,0.03329,5.05,0.155
2457069.88739,ba,14.625,0.03172,5.449,0.159
2458043.78058,be,14.659,0.03247,5.252,0.157
2458080.79539,be,14.622,0.03178,5.433,0.159
2458101.06136,ba,14.686,0.03285,5.157,0.156
2458037.09808,ba,14.635,0.03191,5.399,0.158
2458072.70605,be,14.672,0.03272,5.187,0.156
2457070.84856,ba,14.6,0.03127,5.574,0.16
2458056.76607,be,14.673,0.03274,5.184,0.156
2458127.81589,be,14.658,0.03245,5.259,0.157
2457854.56677,be,14.675,0.03278,5.176,0.156
2457099.78391,ba,14.618,0.0316,5.484,0.159
2457797.66004,be,14.633,0.03198,5.377,0.158
2458189.6531,be,14.671,0.0327,5.194,0.156
2458103.78822,be,14.591,0.03122,5.592,0.161
2458200.6249,be,14.629,0.03191,5.401,0.159
2457651.85367,be,14.648,0.03226,5.305,0.157
2457662.8175,be,14.63,0.03193,5.396,0.158
2457998.11618,ba,14.789,0.035,4.683,0.151
2457046.99673,ba,14.644,0.03205,5.358,0.158
2458238.5059,be,14.591,0.03122,5.591,0.161
2458193.64545,be,14.617,0.03169,5.46,0.159
2458026.05813,ba,14.664,0.03245,5.256,0.157
2458241.50076,be,14.625,0.03183,5.419,0.159
2458210.56806,be,14.658,0.03245,5.258,0.157
2458178.60474,be,14.549,0.0305,5.811,0.163
2457112.74061,ba,14.639,0.03198,5.378,0.158
2457827.8143,ba,14.667,0.03251,5.242,0.157
2457021.83126,ba,14.604,0.03135,5.554,0.16
2457362.01332,ba,14.635,0.03191,5.399,0.158
2457076.73934,ba,14.615,0.03154,5.499,0.16
2457073.73595,ba,14.65,0.03219,5.324,0.158
2458077.11061,ba,14.652,0.03222,5.317,0.158
2458212.56247,be,14.662,0.03253,5.238,0.157
2457807.87014,ba,14.666,0.03247,5.254,0.157
2457704.08029,ba,14.634,0.03189,5.405,0.159
2457390.88686,ba,14.684,0.03283,5.162,0.156
2457475.5654,be,14.618,0.03171,5.454,0.159
2458181.5598,be,14.685,0.03297,5.129,0.156
2457100.79418,ba,14.638,0.03196,5.383,0.158
2457317.01087,ba,14.624,0.03171,5.453,0.159
2457981.92613,be,14.62,0.03174,5.446,0.159
2457844.51894,be,14.609,0.03154,5.498,0.16
2458211.56648,be,14.708,0.03343,5.018,0.154
2457097.73904,ba,14.678,0.03272,5.19,0.156
2457388.93532,ba,14.641,0.03202,5.371,0.158
2458023.82558,be,14.735,0.03398,4.898,0.153
2457291.06827,ba,14.604,0.03135,5.557,0.16
2457714.75366,be,14.633,0.03198,5.381,0.158
2457784.93632,ba,14.68,0.03276,5.182,0.156
2458247.47429,be,14.666,0.0326,5.22,0.157
2457364.97236,ba,14.618,0.0316,5.482,0.159
2457471.60896,be,14.594,0.03127,5.577,0.16
2457727.63926,be,14.653,0.03235,5.282,0.157
2458071.70912,be,14.616,0.03167,5.464,0.159
2457478.76005,ba,14.652,0.03222,5.316,0.158
2458068.73314,be,14.651,0.03232,5.29,0.157
2458012.86071,be,14.581,0.03105,5.642,0.161
2457877.46884,be,14.603,0.03144,5.531,0.16
2457039.01548,ba,14.624,0.03169,5.46,0.159
2458231.53267,be,14.615,0.03165,5.467,0.159
2458111.72415,be,14.657,0.03243,5.259,0.157
2457360.02066,ba,14.666,0.03247,5.251,0.157
2457690.74361,be,14.615,0.03165,5.469,0.159
2458369.88617,be,14.644,0.03219,5.323,0.158
2457404.75035,ba,14.635,0.03191,5.398,0.158
2457342.92997,ba,14.624,0.03169,5.457,0.159
2457071.79717,ba,14.666,0.03249,5.248,0.157
2457760.55231,be,14.613,0.03161,5.479,0.159
2457697.03973,ba,14.866,0.03674,4.366,0.148
2458233.50925,be,14.719,0.03365,4.969,0.154
2458172.62214,be,14.607,0.03151,5.51,0.16
2457778.94944,ba,14.674,0.03264,5.207,0.156
2457893.44571,be,14.707,0.03341,5.024,0.154
2457687.7674,be,14.633,0.03198,5.381,0.158
2458188.62996,be,14.632,0.03196,5.385,0.158
2458216.56906,be,14.64,0.03211,5.346,0.158
2458224.55925,be,14.657,0.03243,5.26,0.157
2457055.86991,ba,14.538,0.03022,5.904,0.164
2458109.79135,be,14.624,0.03182,5.425,0.159
2458376.88371,be,14.595,0.03129,5.573,0.16
2458073.7086,be,14.688,0.03303,5.113,0.155
2458030.0493,ba,14.686,0.03285,5.156,0.156
2458183.6504,be,14.635,0.03202,5.369,0.158
2457669.80954,be,14.917,0.03812,4.141,0.145
2458197.63498,be,14.66,0.03249,5.247,0.157
2457863.51684,be,14.604,0.03145,5.527,0.16
2457358.03164,ba,14.6,0.03127,5.577,0.16
2458106.77797,be,14.618,0.03171,5.453,0.159
2457762.73281,be,14.846,0.03641,4.422,0.148
2458345.92945,be,14.63,0.03193,5.392,0.158
2458179.64619,be,14.551,0.03053,5.801,0.163
2458260.5064,be,14.703,0.03333,5.043,0.155
2457800.89656,ba,14.676,0.03266,5.203,0.156
2457756.00798,ba,14.662,0.03241,5.264,0.157
2457011.8344,ba,14.626,0.03174,5.444,0.159
2458153.70516,be,14.647,0.03224,5.308,0.157
2458008.86454,be,14.665,0.03258,5.223,0.157
2457702.03886,ba,14.687,0.03289,5.146,0.156
2457761.76269,be,14.672,0.03272,5.19,0.156
2457111.78291,ba,14.645,0.03209,5.351,0.158
2457270.12765,ba,14.632,0.03185,5.412,0.159
2457632.89924,be,14.675,0.03278,5.175,0.156
2457831.79827,ba,14.64,0.032,5.374,0.158
2457444.6997,be,14.557,0.03063,5.768,0.163
2457526.4666,be,14.607,0.03151,5.507,0.16
2457421.76229,be,14.578,0.03099,5.657,0.161
2458347.92256,be,14.686,0.03299,5.122,0.155
2457466.6329,be,14.612,0.0316,5.486,0.159
2457038.0277,ba,14.619,0.03161,5.482,0.159
2457445.63181,be,14.614,0.03163,5.476,0.159
2457780.85541,ba,14.642,0.03204,5.362,0.158
2457813.55552,be,14.583,0.03108,5.635,0.161
2457101.82476,ba,14.615,0.03154,5.499,0.16
2457836.56997,be,14.702,0.03331,5.05,0.155
2457821.66738,be,14.637,0.03205,5.358,0.158
2457103.79818,ba,14.628,0.03176,5.44,0.159
2457766.91445,ba,14.604,0.03135,5.554,0.16
2457113.77529,ba,14.708,0.03329,5.054,0.155
2457758.83242,ba,14.628,0.03176,5.441,0.159
2457880.49506,be,14.617,0.03169,5.457,0.159
2458185.58319,be,14.819,0.03579,4.531,0.149
